@relation databasetraining

@attribute area numeric
@attribute perimeter numeric
@attribute circularity numeric
@attribute compactness numeric
@attribute major numeric
@attribute minor numeric
@attribute eccentricity numeric
@attribute hisgreypeak numeric
@attribute q1grey numeric
@attribute q2grey numeric
@attribute q3grey numeric
@attribute q1r numeric
@attribute q2r numeric
@attribute q3r numeric
@attribute q1g numeric
@attribute q2g numeric
@attribute q3g numeric
@attribute q1b numeric
@attribute q2b numeric
@attribute q3b numeric
@attribute Stage {'Stage 1','Stage 2','Stage 3','Stage 4', 'Stage 5'}

@data
13603.0, 1824.77698, 0.0513363443, 0.00408521667, 118.523506, 78.8236313, 2.26097679, 115.0, 108.0, 113.0, 116.0, 125.0, 132.0, 138.0, 154.0, 160.0, 165.0, 43.0, 46.0, 49.0,'Stage 4'
62354.0, 3716.2876, 0.0567355864, 0.00451487442, 299.835175, 158.293625, 3.587883, 83.0, 84.0, 98.0, 109.0, 104.0, 116.0, 129.0, 116.0, 133.0, 150.0, 34.0, 41.0, 50.0,'Stage 4'
60640.0, 2045.16431, 0.182185024, 0.0144978231, 263.042511, 110.79126, 5.63690662, 47.0, 49.0, 62.0, 83.0, 49.0, 63.0, 91.0, 75.0, 92.0, 116.0, 24.0, 29.0, 43.0,'Stage 2'
29908.0, 3122.44165, 0.0385485999, 0.00306760008, 308.157715, 231.150009, 1.77728987, 114.0, 95.0, 108.0, 116.0, 106.0, 123.0, 134.0, 137.0, 148.0, 160.0, 41.0, 48.0, 56.0,'Stage 4'
2862.0, 761.626221, 0.0620005764, 0.00493384898, 149.113556, 21.9916096, 45.9748383, 128.0, 90.0, 107.0, 124.0, 99.0, 120.0, 142.0, 115.0, 131.0, 146.0, 57.0, 71.0, 85.0,'Stage 1'
59467.0, 3511.90356, 0.0605899729, 0.00482159667, 372.804443, 145.360931, 6.57759047, 88.0, 85.0, 92.0, 103.0, 94.0, 104.0, 118.0, 125.0, 132.0, 144.0, 36.0, 40.0, 47.0,'Stage 3'
4646.0, 1001.35919, 0.0582249761, 0.0046333964, 181.584427, 106.843575, 2.8884201, 112.0, 109.0, 113.0, 116.0, 125.0, 129.0, 134.0, 157.0, 163.0, 166.0, 44.0, 46.0, 50.0,'Stage 4'
43951.0, 2644.76831, 0.0789593086, 0.00628338195, 363.32666, 196.331619, 3.42463326, 97.0, 88.0, 95.0, 100.0, 94.0, 103.0, 110.0, 128.0, 137.0, 143.0, 40.0, 45.0, 50.0,'Stage 3'
115997.0, 5258.43506, 0.0527161434, 0.00419501727, 374.145996, 229.920547, 2.64805269, 67.0, 74.0, 89.0, 104.0, 78.0, 97.0, 117.0, 109.0, 126.0, 143.0, 34.0, 43.0, 54.0,'Stage 4'
65807.0, 2950.8667, 0.0949691981, 0.00755740842, 190.006027, 179.40889, 1.12162268, 77.0, 76.0, 80.0, 87.0, 78.0, 83.0, 92.0, 114.0, 119.0, 127.0, 35.0, 37.0, 43.0,'Stage 2'
